run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
0,0,DecisionTree,TEST,0.8333333333333334,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8891928864569083,14,7,36,3
0,0,DecisionTree,TRAIN,0.895397489539749,0.8292682926829268,0.8607594936708861,0.84472049689441,0.9125,68,14,146,11
1,1,DecisionTree,TEST,0.8333333333333334,0.6521739130434783,0.8823529411764706,0.75,0.8946648426812586,15,8,35,2
1,1,DecisionTree,TRAIN,0.8158995815899581,0.6966292134831461,0.7848101265822784,0.7380952380952381,0.9029272151898734,62,27,133,17
2,2,DecisionTree,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.8125854993160055,14,4,39,3
2,2,DecisionTree,TRAIN,0.8619246861924686,0.7555555555555555,0.8607594936708861,0.8047337278106509,0.8901503164556962,68,22,138,11
3,3,DecisionTree,TEST,0.9,0.9230769230769231,0.7058823529411765,0.8,0.9138166894664843,12,1,42,5
3,3,DecisionTree,TRAIN,0.8368200836820083,0.8333333333333334,0.6329113924050633,0.7194244604316546,0.8525712025316455,50,10,150,29
4,4,DecisionTree,TEST,0.8833333333333333,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.9158686730506156,12,2,41,5
4,4,DecisionTree,TRAIN,0.8577405857740585,0.8813559322033898,0.6582278481012658,0.7536231884057971,0.8741693037974684,52,7,153,27
5,5,DecisionTree,TEST,0.8,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.847469220246238,11,6,37,6
5,5,DecisionTree,TRAIN,0.8577405857740585,0.7777777777777778,0.7974683544303798,0.7875,0.914121835443038,63,18,142,16
6,6,DecisionTree,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.926812585499316,13,5,38,4
6,6,DecisionTree,TRAIN,0.8744769874476988,0.8356164383561644,0.7721518987341772,0.8026315789473685,0.9226661392405063,61,12,148,18
7,7,DecisionTree,TEST,0.8666666666666667,0.8,0.7058823529411765,0.75,0.8850889192886456,12,3,40,5
7,7,DecisionTree,TRAIN,0.8577405857740585,0.8461538461538461,0.6962025316455697,0.7638888888888888,0.8932357594936708,55,10,150,24
8,8,DecisionTree,TEST,0.85,0.75,0.7058823529411765,0.7272727272727273,0.8461012311901505,12,4,39,5
8,8,DecisionTree,TRAIN,0.8702928870292888,0.8428571428571429,0.7468354430379747,0.7919463087248322,0.8981012658227847,59,11,149,20
9,9,DecisionTree,TEST,0.85,0.7,0.8235294117647058,0.7567567567567568,0.8823529411764706,14,6,37,3
9,9,DecisionTree,TRAIN,0.8326359832635983,0.7407407407407407,0.759493670886076,0.75,0.889754746835443,60,21,139,19
10,10,DecisionTree,TEST,0.8166666666666667,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.8686730506155951,10,4,39,7
10,10,DecisionTree,TRAIN,0.8451882845188284,0.92,0.5822784810126582,0.7131782945736435,0.8872626582278481,46,4,156,33
11,11,DecisionTree,TEST,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.9124487004103967,13,4,39,4
11,11,DecisionTree,TRAIN,0.8661087866108786,0.873015873015873,0.6962025316455697,0.7746478873239436,0.8871439873417722,55,8,152,24
12,12,DecisionTree,TEST,0.8,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.7571819425444596,13,8,35,4
12,12,DecisionTree,TRAIN,0.8828451882845189,0.8148148148148148,0.8354430379746836,0.825,0.8952927215189874,66,15,145,13
13,13,DecisionTree,TEST,0.9,0.7619047619047619,0.9411764705882353,0.8421052631578947,0.9158686730506156,16,5,38,1
13,13,DecisionTree,TRAIN,0.8702928870292888,0.8,0.810126582278481,0.8050314465408805,0.8859572784810128,64,16,144,15
14,14,DecisionTree,TEST,0.8833333333333333,0.8125,0.7647058823529411,0.7878787878787878,0.9616963064295485,13,3,40,4
14,14,DecisionTree,TRAIN,0.8326359832635983,0.782608695652174,0.6835443037974683,0.7297297297297297,0.8705300632911392,54,15,145,25
15,15,DecisionTree,TEST,0.8833333333333333,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.9192886456908345,12,2,41,5
15,15,DecisionTree,TRAIN,0.8535564853556485,0.8666666666666667,0.6582278481012658,0.7482014388489209,0.8730617088607595,52,8,152,27
16,16,DecisionTree,TEST,0.7666666666666667,0.5652173913043478,0.7647058823529411,0.65,0.7551299589603284,13,10,33,4
16,16,DecisionTree,TRAIN,0.8619246861924686,0.7395833333333334,0.8987341772151899,0.8114285714285714,0.9032436708860759,71,25,135,8
17,17,DecisionTree,TEST,0.8833333333333333,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.9384404924760602,12,2,41,5
17,17,DecisionTree,TRAIN,0.8577405857740585,0.8813559322033898,0.6582278481012658,0.7536231884057971,0.9023338607594936,52,7,153,27
18,18,DecisionTree,TEST,0.8166666666666667,0.6153846153846154,0.9411764705882353,0.7441860465116279,0.8447332421340629,16,10,33,1
18,18,DecisionTree,TRAIN,0.8619246861924686,0.7446808510638298,0.8860759493670886,0.8092485549132948,0.8780854430379746,70,24,136,9
19,19,DecisionTree,TEST,0.8166666666666667,0.625,0.8823529411764706,0.7317073170731707,0.9240766073871409,15,9,34,2
19,19,DecisionTree,TRAIN,0.8326359832635983,0.7142857142857143,0.8227848101265823,0.7647058823529411,0.9012658227848102,65,26,134,14
20,20,DecisionTree,TEST,0.8166666666666667,0.65,0.7647058823529411,0.7027027027027027,0.7777017783857728,13,7,36,4
20,20,DecisionTree,TRAIN,0.8744769874476988,0.810126582278481,0.810126582278481,0.810126582278481,0.8684335443037974,64,15,145,15
21,21,DecisionTree,TEST,0.9,0.8666666666666667,0.7647058823529411,0.8125,0.930232558139535,13,2,41,4
21,21,DecisionTree,TRAIN,0.8075313807531381,0.7323943661971831,0.6582278481012658,0.6933333333333334,0.8163765822784811,52,19,141,27
22,22,DecisionTree,TEST,0.8333333333333334,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.9103967168262653,12,5,38,5
22,22,DecisionTree,TRAIN,0.8619246861924686,0.8709677419354839,0.6835443037974683,0.7659574468085106,0.8992088607594937,54,8,152,25
23,23,DecisionTree,TEST,0.8,0.5925925925925926,0.9411764705882353,0.7272727272727273,0.9281805745554035,16,11,32,1
23,23,DecisionTree,TRAIN,0.8828451882845189,0.8,0.8607594936708861,0.8292682926829268,0.9292721518987342,68,17,143,11
24,24,DecisionTree,TEST,0.85,0.75,0.7058823529411765,0.7272727272727273,0.8748290013679891,12,4,39,5
24,24,DecisionTree,TRAIN,0.8535564853556485,0.8666666666666667,0.6582278481012658,0.7482014388489209,0.8700949367088608,52,8,152,27
25,25,DecisionTree,TEST,0.8666666666666667,0.6956521739130435,0.9411764705882353,0.8,0.8919288645690835,16,7,36,1
25,25,DecisionTree,TRAIN,0.8410041841004184,0.7204301075268817,0.8481012658227848,0.7790697674418605,0.8604825949367089,67,26,134,12
26,26,DecisionTree,TEST,0.8666666666666667,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.9158686730506156,15,6,37,2
26,26,DecisionTree,TRAIN,0.8786610878661087,0.8787878787878788,0.7341772151898734,0.8,0.900514240506329,58,8,152,21
27,27,DecisionTree,TEST,0.8333333333333334,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8563611491108071,14,7,36,3
27,27,DecisionTree,TRAIN,0.8577405857740585,0.7419354838709677,0.8734177215189873,0.8023255813953488,0.8855617088607594,69,24,136,10
28,28,DecisionTree,TEST,0.8666666666666667,0.8,0.7058823529411765,0.75,0.8789329685362516,12,3,40,5
28,28,DecisionTree,TRAIN,0.8786610878661087,0.8571428571428571,0.759493670886076,0.8053691275167785,0.8840981012658229,60,10,150,19
29,29,DecisionTree,TEST,0.9,0.9230769230769231,0.7058823529411765,0.8,0.9459644322845417,12,1,42,5
29,29,DecisionTree,TRAIN,0.8493723849372385,0.8307692307692308,0.6835443037974683,0.75,0.8854825949367089,54,11,149,25
30,30,DecisionTree,TEST,0.7833333333333333,0.6,0.7058823529411765,0.6486486486486487,0.8515731874145007,12,8,35,5
30,30,DecisionTree,TRAIN,0.8242677824267782,0.7228915662650602,0.759493670886076,0.7407407407407407,0.8970332278481012,60,23,137,19
