run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
0,0,XGBoost,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.93296853625171,14,3,40,3
0,0,XGBoost,TRAIN,0.9288702928870293,0.8974358974358975,0.8860759493670886,0.89171974522293,0.9747626582278481,70,8,152,9
1,1,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9192886456908345,14,4,39,3
1,1,XGBoost,TRAIN,0.8870292887029289,0.825,0.8354430379746836,0.8301886792452831,0.9609968354430379,66,14,146,13
2,2,XGBoost,TEST,0.9166666666666666,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9384404924760602,15,3,40,2
2,2,XGBoost,TRAIN,0.9121338912133892,0.8918918918918919,0.8354430379746836,0.8627450980392157,0.97373417721519,66,8,152,13
3,3,XGBoost,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.945280437756498,14,3,40,3
3,3,XGBoost,TRAIN,0.891213389121339,0.8533333333333334,0.810126582278481,0.8311688311688312,0.9655854430379748,64,11,149,15
4,4,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9288645690834474,14,4,39,3
4,4,XGBoost,TRAIN,0.9037656903765691,0.8783783783783784,0.8227848101265823,0.8496732026143791,0.9716772151898734,65,9,151,14
5,5,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9165526675786594,14,4,39,3
5,5,XGBoost,TRAIN,0.899581589958159,0.8767123287671232,0.810126582278481,0.8421052631578947,0.9653481012658228,64,9,151,15
6,6,XGBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9042407660738715,14,5,38,3
6,6,XGBoost,TRAIN,0.9288702928870293,0.8875,0.8987341772151899,0.8930817610062893,0.9700949367088607,71,9,151,8
7,7,XGBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9425444596443229,14,5,38,3
7,7,XGBoost,TRAIN,0.9330543933054394,0.9090909090909091,0.8860759493670886,0.8974358974358975,0.9742879746835443,70,7,153,9
8,8,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9247606019151847,14,4,39,3
