run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
0,0,DecisionTree,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9562243502051984,14,3,40,3
0,0,DecisionTree,TRAIN,0.9121338912133892,0.9142857142857143,0.810126582278481,0.8590604026845637,0.967879746835443,64,6,154,15
1,1,DecisionTree,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9493844049247606,14,3,40,3
1,1,DecisionTree,TRAIN,0.8744769874476988,0.8356164383561644,0.7721518987341772,0.8026315789473685,0.9582278481012658,61,12,148,18
2,2,DecisionTree,TEST,0.9166666666666666,0.875,0.8235294117647058,0.8484848484848485,0.9507523939808482,14,2,41,3
2,2,DecisionTree,TRAIN,0.9037656903765691,0.9,0.7974683544303798,0.8456375838926175,0.964003164556962,63,7,153,16
3,3,DecisionTree,TEST,0.9166666666666666,0.875,0.8235294117647058,0.8484848484848485,0.948016415868673,14,2,41,3
3,3,DecisionTree,TRAIN,0.8870292887029289,0.8823529411764706,0.759493670886076,0.8163265306122449,0.9627373417721519,60,8,152,19
4,4,DecisionTree,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9452804377564978,14,3,40,3
4,4,DecisionTree,TRAIN,0.9079497907949791,0.8904109589041096,0.8227848101265823,0.8552631578947368,0.9641613924050632,65,8,152,14
5,5,DecisionTree,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9466484268125855,14,4,39,3
5,5,DecisionTree,TRAIN,0.895397489539749,0.8552631578947368,0.8227848101265823,0.8387096774193549,0.9602056962025316,65,11,149,14
6,6,DecisionTree,TEST,0.9166666666666666,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.948016415868673,15,3,40,2
6,6,DecisionTree,TRAIN,0.895397489539749,0.8461538461538461,0.8354430379746836,0.8407643312101911,0.9677215189873418,66,12,148,13
7,7,DecisionTree,TEST,0.9166666666666666,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9384404924760602,15,3,40,2
7,7,DecisionTree,TRAIN,0.9037656903765691,0.9,0.7974683544303798,0.8456375838926175,0.9643196202531645,63,7,153,16
8,8,DecisionTree,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9548563611491108,14,3,40,3
8,8,DecisionTree,TRAIN,0.9079497907949791,0.8701298701298701,0.8481012658227848,0.8589743589743589,0.964003164556962,67,10,150,12
9,9,DecisionTree,TEST,0.9166666666666666,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9534883720930233,15,3,40,2
9,9,DecisionTree,TRAIN,0.9079497907949791,0.8433734939759037,0.8860759493670886,0.8641975308641975,0.9621835443037976,70,13,147,9
10,10,DecisionTree,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.948016415868673,14,3,40,3
10,10,DecisionTree,TRAIN,0.9037656903765691,0.9,0.7974683544303798,0.8456375838926175,0.968987341772152,63,7,153,16
11,11,DecisionTree,TEST,0.8833333333333333,0.8125,0.7647058823529411,0.7878787878787878,0.948016415868673,13,3,40,4
11,11,DecisionTree,TRAIN,0.891213389121339,0.8840579710144928,0.7721518987341772,0.8243243243243243,0.9655063291139241,61,8,152,18
12,12,DecisionTree,TEST,0.9166666666666666,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9534883720930232,15,3,40,2
12,12,DecisionTree,TRAIN,0.8828451882845189,0.8493150684931506,0.7848101265822784,0.8157894736842105,0.9632911392405064,62,11,149,17
13,13,DecisionTree,TEST,0.9166666666666666,0.875,0.8235294117647058,0.8484848484848485,0.9452804377564981,14,2,41,3
13,13,DecisionTree,TRAIN,0.8870292887029289,0.8714285714285714,0.7721518987341772,0.8187919463087249,0.9583069620253164,61,9,151,18
14,14,DecisionTree,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9548563611491108,14,3,40,3
14,14,DecisionTree,TRAIN,0.899581589958159,0.8873239436619719,0.7974683544303798,0.84,0.9644778481012659,63,8,152,16
15,15,DecisionTree,TEST,0.9166666666666666,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9534883720930232,15,3,40,2
15,15,DecisionTree,TRAIN,0.8786610878661087,0.8378378378378378,0.7848101265822784,0.8104575163398693,0.9609177215189874,62,12,148,17
16,16,DecisionTree,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9425444596443229,15,4,39,2
16,16,DecisionTree,TRAIN,0.9121338912133892,0.9027777777777778,0.8227848101265823,0.8609271523178808,0.9662183544303797,65,7,153,14
17,17,DecisionTree,TEST,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.9493844049247606,13,4,39,4
17,17,DecisionTree,TRAIN,0.9079497907949791,0.8701298701298701,0.8481012658227848,0.8589743589743589,0.965743670886076,67,10,150,12
18,18,DecisionTree,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9493844049247606,14,3,40,3
18,18,DecisionTree,TRAIN,0.899581589958159,0.8873239436619719,0.7974683544303798,0.84,0.9667721518987342,63,8,152,16
