run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
0,0,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
0,0,LogisticRegresion,TRAIN,0.8577405857740585,0.8260869565217391,0.7215189873417721,0.7702702702702703,0.9387658227848101,57,12,148,22
1,1,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9288645690834474,13,5,38,4
1,1,LogisticRegresion,TRAIN,0.8577405857740585,0.8260869565217391,0.7215189873417721,0.7702702702702703,0.939636075949367,57,12,148,22
2,2,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
2,2,LogisticRegresion,TRAIN,0.8493723849372385,0.8208955223880597,0.6962025316455697,0.7534246575342466,0.9367879746835444,55,12,148,24
3,3,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
3,3,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9416930379746835,58,12,148,21
4,4,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9274965800273598,13,5,38,4
4,4,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9410601265822784,58,12,148,21
5,5,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9288645690834474,13,5,38,4
5,5,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9444620253164557,58,12,148,21
6,6,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
6,6,LogisticRegresion,TRAIN,0.8535564853556485,0.8235294117647058,0.7088607594936709,0.7619047619047619,0.9378164556962026,56,12,148,23
7,7,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9274965800273598,13,5,38,4
7,7,LogisticRegresion,TRAIN,0.8661087866108786,0.8309859154929577,0.7468354430379747,0.7866666666666666,0.9440664556962025,59,12,148,20
8,8,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
8,8,LogisticRegresion,TRAIN,0.8577405857740585,0.8260869565217391,0.7215189873417721,0.7702702702702703,0.9412183544303798,57,12,148,22
9,9,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9261285909712722,13,5,38,4
9,9,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9405063291139241,58,12,148,21
10,10,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
10,10,LogisticRegresion,TRAIN,0.8577405857740585,0.8260869565217391,0.7215189873417721,0.7702702702702703,0.9397151898734177,57,12,148,22
11,11,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
11,11,LogisticRegresion,TRAIN,0.8535564853556485,0.8142857142857143,0.7215189873417721,0.7651006711409396,0.9370253164556962,57,13,147,22
12,12,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9261285909712722,13,5,38,4
12,12,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9433544303797469,58,12,148,21
13,13,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
13,13,LogisticRegresion,TRAIN,0.8577405857740585,0.8260869565217391,0.7215189873417721,0.7702702702702703,0.940743670886076,57,12,148,22
14,14,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9288645690834474,13,5,38,4
14,14,LogisticRegresion,TRAIN,0.8577405857740585,0.8260869565217391,0.7215189873417721,0.7702702702702703,0.9378955696202531,57,12,148,22
15,15,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
15,15,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9417721518987342,58,12,148,21
16,16,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9274965800273598,13,5,38,4
16,16,LogisticRegresion,TRAIN,0.8661087866108786,0.8309859154929577,0.7468354430379747,0.7866666666666666,0.9443037974683545,59,12,148,20
17,17,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9288645690834474,13,5,38,4
17,17,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9405063291139241,58,12,148,21
18,18,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9261285909712722,13,5,38,4
18,18,LogisticRegresion,TRAIN,0.8744769874476988,0.855072463768116,0.7468354430379747,0.7972972972972973,0.9481803797468354,59,10,150,20
19,19,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9288645690834474,13,5,38,4
19,19,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9408227848101266,58,12,148,21
20,20,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
20,20,LogisticRegresion,TRAIN,0.8451882845188284,0.8088235294117647,0.6962025316455697,0.7482993197278912,0.9350474683544304,55,13,147,24
21,21,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
21,21,LogisticRegresion,TRAIN,0.8577405857740585,0.8260869565217391,0.7215189873417721,0.7702702702702703,0.9386075949367089,57,12,148,22
22,22,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9261285909712722,13,5,38,4
22,22,LogisticRegresion,TRAIN,0.8661087866108786,0.8309859154929577,0.7468354430379747,0.7866666666666666,0.9458069620253164,59,12,148,20
23,23,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9316005471956225,13,5,38,4
23,23,LogisticRegresion,TRAIN,0.8493723849372385,0.8208955223880597,0.6962025316455697,0.7534246575342466,0.9360759493670886,55,12,148,24
24,24,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9274965800273598,13,5,38,4
24,24,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9433544303797469,58,12,148,21
25,25,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
25,25,LogisticRegresion,TRAIN,0.8493723849372385,0.8208955223880597,0.6962025316455697,0.7534246575342466,0.9356012658227848,55,12,148,24
26,26,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
26,26,LogisticRegresion,TRAIN,0.8451882845188284,0.8088235294117647,0.6962025316455697,0.7482993197278912,0.9332278481012659,55,13,147,24
27,27,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
27,27,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9424841772151898,58,12,148,21
28,28,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
28,28,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.939873417721519,58,12,148,21
29,29,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.9288645690834474,13,5,38,4
29,29,LogisticRegresion,TRAIN,0.8619246861924686,0.8285714285714286,0.7341772151898734,0.7785234899328859,0.9431962025316456,58,12,148,21
30,30,LogisticRegresion,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.930232558139535,13,5,38,4
30,30,LogisticRegresion,TRAIN,0.8577405857740585,0.8260869565217391,0.7215189873417721,0.7702702702702703,0.939636075949367,57,12,148,22
