run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
0,0,Voting,TEST,0.8333333333333334,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.9411764705882353,12,5,38,5
0,0,Voting,TRAIN,0.8284518828451883,0.7317073170731707,0.759493670886076,0.7453416149068323,0.9192246835443038,60,22,138,19
1,1,Voting,TEST,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.9398084815321477,13,4,39,4
1,1,Voting,TRAIN,0.799163179916318,0.691358024691358,0.7088607594936709,0.7,0.8962816455696203,56,25,135,23
2,2,Voting,TEST,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.9398084815321478,13,4,39,4
2,2,Voting,TRAIN,0.8368200836820083,0.75,0.759493670886076,0.7547169811320755,0.9266613924050633,60,20,140,19
3,3,Voting,TEST,0.8666666666666667,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.9398084815321477,13,4,39,4
3,3,Voting,TRAIN,0.8368200836820083,0.75,0.759493670886076,0.7547169811320755,0.9166930379746836,60,20,140,19
4,4,Voting,TEST,0.8666666666666667,0.8,0.7058823529411765,0.75,0.9384404924760602,12,3,40,5
4,4,Voting,TRAIN,0.8242677824267782,0.7283950617283951,0.7468354430379747,0.7375,0.9186708860759494,59,22,138,20
5,5,Voting,TEST,0.8666666666666667,0.8,0.7058823529411765,0.75,0.9425444596443228,12,3,40,5
5,5,Voting,TRAIN,0.8410041841004184,0.7530864197530864,0.7721518987341772,0.7625,0.9205696202531646,61,20,140,18
6,6,Voting,TEST,0.85,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.93296853625171,13,5,38,4
6,6,Voting,TRAIN,0.8661087866108786,0.8133333333333334,0.7721518987341772,0.7922077922077922,0.9328322784810127,61,14,146,18
7,7,Voting,TEST,0.8333333333333334,0.7333333333333333,0.6470588235294118,0.6875,0.9384404924760601,11,4,39,6
7,7,Voting,TRAIN,0.8368200836820083,0.7702702702702703,0.7215189873417721,0.7450980392156863,0.9147943037974684,57,17,143,22
