run,seed,model_name,set,accuracy,precision,recall,f1,auc,tp,fp,tn,fn
0,0,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9404924760601915,14,4,39,3
0,0,XGBoost,TRAIN,0.9121338912133892,0.8717948717948718,0.8607594936708861,0.8662420382165605,0.9723892405063291,68,10,150,11
1,1,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9411764705882353,14,4,39,3
1,1,XGBoost,TRAIN,0.8619246861924686,0.7875,0.7974683544303798,0.7924528301886793,0.960126582278481,63,17,143,16
2,2,XGBoost,TEST,0.8833333333333333,0.75,0.8823529411764706,0.8108108108108109,0.9439124487004105,15,5,38,2
2,2,XGBoost,TRAIN,0.9246861924686193,0.8961038961038961,0.8734177215189873,0.8846153846153846,0.9716772151898734,69,8,152,10
3,3,XGBoost,TEST,0.9,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.935704514363885,14,3,40,3
3,3,XGBoost,TRAIN,0.895397489539749,0.8552631578947368,0.8227848101265823,0.8387096774193549,0.9673259493670886,65,11,149,14
4,4,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9110807113543091,14,4,39,3
4,4,XGBoost,TRAIN,0.895397489539749,0.8648648648648649,0.810126582278481,0.8366013071895425,0.9693037974683545,64,10,150,15
5,5,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9138166894664843,14,4,39,3
5,5,XGBoost,TRAIN,0.9037656903765691,0.8783783783783784,0.8227848101265823,0.8496732026143791,0.9645569620253164,65,9,151,14
6,6,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9069767441860465,14,4,39,3
6,6,XGBoost,TRAIN,0.9163179916317992,0.8641975308641975,0.8860759493670886,0.875,0.9679588607594937,70,11,149,9
7,7,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9254445964432284,14,4,39,3
7,7,XGBoost,TRAIN,0.9163179916317992,0.8831168831168831,0.8607594936708861,0.8717948717948718,0.9716772151898734,68,9,151,11
8,8,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9302325581395349,14,4,39,3
8,8,XGBoost,TRAIN,0.9037656903765691,0.868421052631579,0.8354430379746836,0.8516129032258064,0.9641613924050633,66,10,150,13
9,9,XGBoost,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9357045143638851,15,4,39,2
9,9,XGBoost,TRAIN,0.9163179916317992,0.8734177215189873,0.8734177215189873,0.8734177215189873,0.9709651898734177,69,10,150,10
10,10,XGBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9343365253077975,14,5,38,3
10,10,XGBoost,TRAIN,0.9246861924686193,0.8765432098765432,0.8987341772151899,0.8875,0.9742879746835442,71,10,150,8
11,11,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9466484268125854,14,4,39,3
11,11,XGBoost,TRAIN,0.899581589958159,0.8666666666666667,0.8227848101265823,0.8441558441558441,0.9665348101265823,65,10,150,14
12,12,XGBoost,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9384404924760601,15,4,39,2
12,12,XGBoost,TRAIN,0.8870292887029289,0.8421052631578947,0.810126582278481,0.8258064516129032,0.9661392405063292,64,12,148,15
13,13,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9466484268125855,14,4,39,3
13,13,XGBoost,TRAIN,0.899581589958159,0.8767123287671232,0.810126582278481,0.8421052631578947,0.9659018987341772,64,9,151,15
14,14,XGBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9343365253077975,14,5,38,3
14,14,XGBoost,TRAIN,0.9288702928870293,0.918918918918919,0.8607594936708861,0.8888888888888888,0.9722310126582279,68,6,154,11
15,15,XGBoost,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9555403556771546,15,4,39,2
15,15,XGBoost,TRAIN,0.9079497907949791,0.8607594936708861,0.8607594936708861,0.8607594936708861,0.965743670886076,68,11,149,11
16,16,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9247606019151846,14,4,39,3
16,16,XGBoost,TRAIN,0.9121338912133892,0.8918918918918919,0.8354430379746836,0.8627450980392157,0.9682753164556962,66,8,152,13
17,17,XGBoost,TEST,0.9,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9165526675786594,15,4,39,2
17,17,XGBoost,TRAIN,0.9163179916317992,0.8831168831168831,0.8607594936708861,0.8717948717948718,0.9688291139240506,68,9,151,11
18,18,XGBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9411764705882353,14,5,38,3
18,18,XGBoost,TRAIN,0.9372384937238494,0.9102564102564102,0.8987341772151899,0.9044585987261147,0.9727056962025317,71,7,153,8
19,19,XGBoost,TEST,0.8666666666666667,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9206566347469219,14,5,38,3
19,19,XGBoost,TRAIN,0.8744769874476988,0.8181818181818182,0.7974683544303798,0.8076923076923077,0.960126582278481,63,14,146,16
20,20,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9281805745554036,14,4,39,3
20,20,XGBoost,TRAIN,0.899581589958159,0.8767123287671232,0.810126582278481,0.8421052631578947,0.9686708860759494,64,9,151,15
21,21,XGBoost,TEST,0.8833333333333333,0.75,0.8823529411764706,0.8108108108108109,0.9411764705882353,15,5,38,2
21,21,XGBoost,TRAIN,0.891213389121339,0.8271604938271605,0.8481012658227848,0.8375,0.9594145569620253,67,14,146,12
22,22,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9384404924760601,14,4,39,3
22,22,XGBoost,TRAIN,0.899581589958159,0.8666666666666667,0.8227848101265823,0.8441558441558441,0.9694620253164558,65,10,150,14
23,23,XGBoost,TEST,0.8833333333333333,0.7777777777777778,0.8235294117647058,0.8,0.9288645690834473,14,4,39,3
23,23,XGBoost,TRAIN,0.9163179916317992,0.8734177215189873,0.8734177215189873,0.8734177215189873,0.9738528481012658,69,10,150,10
